#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2295 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:108 out:105 type:P dur:2 cpbdur:2 q:19.07 aq:10.21 tex:234637 mv:6558 misc:613 imb:68 pmb:1106 smb:2426 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:19.06 aq:13.66 tex:52041 mv:6846 misc:1009 imb:2 pmb:1000 smb:2598 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:19.06 aq:15.73 tex:12069 mv:4073 misc:1594 imb:0 pmb:583 smb:3017 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:19.06 aq:15.49 tex:13857 mv:3851 misc:1540 imb:2 pmb:586 smb:3012 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:19.19 aq:10.20 tex:226296 mv:6534 misc:546 imb:68 pmb:1109 smb:2423 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:19.13 aq:13.44 tex:51806 mv:6684 misc:1030 imb:5 pmb:995 smb:2600 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:19.10 aq:15.55 tex:11474 mv:3963 misc:1611 imb:4 pmb:562 smb:3034 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:19.16 aq:15.35 tex:12820 mv:3882 misc:1522 imb:1 pmb:568 smb:3031 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:19.21 aq:10.23 tex:224928 mv:6388 misc:596 imb:52 pmb:1121 smb:2427 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:19.20 aq:14.14 tex:52355 mv:7031 misc:1038 imb:6 pmb:983 smb:2611 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:19.20 aq:16.01 tex:11482 mv:4045 misc:1593 imb:4 pmb:574 smb:3022 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:19.20 aq:15.50 tex:12025 mv:3637 misc:1498 imb:0 pmb:557 smb:3043 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:19.24 aq:9.89 tex:247101 mv:6860 misc:583 imb:80 pmb:1106 smb:2414 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:19.22 aq:13.72 tex:54153 mv:6378 misc:1093 imb:12 pmb:960 smb:2628 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:19.22 aq:15.27 tex:11120 mv:3944 misc:1616 imb:5 pmb:581 smb:3014 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:19.23 aq:15.94 tex:11784 mv:4294 misc:1570 imb:5 pmb:597 smb:2998 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:19.29 aq:10.39 tex:216473 mv:6197 misc:634 imb:51 pmb:1121 smb:2428 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:19.26 aq:14.05 tex:48203 mv:6361 misc:1116 imb:8 pmb:931 smb:2661 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:19.25 aq:15.79 tex:10338 mv:3573 misc:1569 imb:0 pmb:516 smb:3084 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:19.27 aq:15.78 tex:10936 mv:3617 misc:1551 imb:1 pmb:529 smb:3070 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:19.31 aq:9.88 tex:218294 mv:6329 misc:593 imb:58 pmb:1116 smb:2426 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:19.30 aq:14.15 tex:49594 mv:7096 misc:1078 imb:7 pmb:956 smb:2637 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:19.29 aq:15.67 tex:10992 mv:3672 misc:1424 imb:0 pmb:551 smb:3049 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:19.31 aq:15.79 tex:12802 mv:3606 misc:1456 imb:1 pmb:563 smb:3036 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:19.33 aq:10.04 tex:220876 mv:6484 misc:616 imb:62 pmb:1109 smb:2429 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:19.32 aq:14.28 tex:48326 mv:6979 misc:1079 imb:6 pmb:945 smb:2649 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:19.32 aq:15.40 tex:11116 mv:3966 misc:1534 imb:1 pmb:575 smb:3024 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:19.32 aq:15.77 tex:11305 mv:3719 misc:1504 imb:3 pmb:531 smb:3066 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:19.35 aq:10.14 tex:213656 mv:6388 misc:676 imb:45 pmb:1120 smb:2435 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:19.34 aq:13.77 tex:48472 mv:6752 misc:1104 imb:6 pmb:937 smb:2657 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:19.33 aq:15.60 tex:11724 mv:3897 misc:1563 imb:3 pmb:563 smb:3034 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:19.34 aq:15.37 tex:11652 mv:3812 misc:1504 imb:5 pmb:548 smb:3047 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:19.40 aq:10.25 tex:219094 mv:6362 misc:664 imb:52 pmb:1115 smb:2433 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:19.37 aq:13.76 tex:47730 mv:6780 misc:1090 imb:5 pmb:964 smb:2631 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:19.36 aq:15.95 tex:10307 mv:3720 misc:1645 imb:3 pmb:546 smb:3051 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:19.39 aq:15.85 tex:10884 mv:3625 misc:1555 imb:6 pmb:512 smb:3082 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:19.40 aq:10.43 tex:213061 mv:6359 misc:564 imb:62 pmb:1115 smb:2423 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:19.40 aq:14.25 tex:45879 mv:6588 misc:1117 imb:4 pmb:942 smb:2654 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:19.40 aq:16.34 tex:9687 mv:3640 misc:1513 imb:0 pmb:510 smb:3090 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:19.40 aq:15.82 tex:11393 mv:3852 misc:1451 imb:3 pmb:540 smb:3057 d:- ref:0 ;
